#separator:tab
#html:true
#tags column:47
arranjar-se	arranjar-se	arranjar-se	arreglarse	/a.ʁɐ̃.ˈʒaɾ-sɨ/	/ɐ.ʁɐ.ˈɲaʁ sɨ/	v pron	vestir-se bem	get ready	/ɡɛt ˈrɛdi/	/ɡɛt ˈrɛdi/	v			arreglarse			v				se préparer			v		sich bereit machen					arreglar-se					prepararsi										Português::Curso::A1 Português::Vocabulario::Pessoas::Tempo_livre Português::Vocabulario::Tipo_Palavra::Verbos
natural	natural	natural		/nɐ.tu.ˈɾaɫ/	/ natuˈɾaw /			natural	/ˈnætʃə˞ɹəl/	/ˈnætʃᵊrᵊl/				natural							naturel					natürlich					natural					naturale										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
nervoso, nervosa	nervoso, nervosa	nervoso, nervosa		/nɨɾ.ˈvo.zu/ ,  /nɨɾ.ˈvo.zɐ/	/ neʁˈvɔzu | neʁˈvɔzɐ /			nervous	/ˈnɜ˞vəs/	/ˈnɜːvəs/				nervioso							nerveux					nervös					nerviós					nervoso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
obediente	obediente	obediente	"<img src=""Mikasa_Mom_Stitching.jpg"">"	/o.bɨ.di.ˈẽ.tɨ/	/ obedʒiˈẽtʃi /			obedient	/oˈbidiənt/	/əˈbiːdiənt/				obediente							obéissant					gehorsam					obedient					ubbidiente										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
olhos âmbar	olhos âmbar (ocre ou mel)	os olhos âmbar (ocre ou mel)	"<img src=""_amber_eye.jpg"">"	/uz ˈo.ʎuz ˈɐ̃.baɾ (ˈo.kɾɨ ˈo ˈmɛɫ)/	/ ˈɔʎus ˈɐ̃baʁ | ˈɔkɾi ow ˈmɛw | /			amber eyes	/ˈæmbə˞ ˈaɪz/	/ˈæmbər ˈaɪz/				ojos ámbar							yeux ambre					bernsteinfarbene Augen					ulls ambre					occhi ambra										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos azuis	olhos azuis	os olhos azuis	"<img src=""Armin_Face.JPG"">"	/uz ˈo.ʎuz ɐ.ˈzujʃ/	/ ˈɔʎus aˈzujs /			blue eyes	/ˈblu ˈaɪz/	/ˈbluː ˈaɪz/				ojos azules							yeux bleus					blaue Augen					ulls blaus					occhi azzurri										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos castanhos	olhos castanhos	os olhos castanhos	"<img src=""Olhos_Castanhos_claros.jpg"">"	/uz ˈo.ʎuʃ kɐʃ.ˈtɐ.ɲuʃ/	/ ˈɔʎus kasˈtɐɲus /			brown eyes	/ˈbɹaʊn ˈaɪz/	/ˈbraʊn ˈaɪz/				ojos marrones							yeux marron					braune Augen					ulls marrons					occhi marroni										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos cinza	olhos cinza	os olhos cinza		/uz ˈo.ʎuʃ ˈsĩ.zɐ/	/ ˈɔʎus ˈsĩzɐ /			gray eyes	/ˈɡɹeɪ ˈaɪz/	/ˈɡreɪ ˈaɪz/				ojos grises							yeux gris					graue Augen					ulls gris					occhi grigi										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos cor de avelã	olhos cor de avelã	os olhos cor de avelã		/uz ˈo.ʎuʃ ˈkoɾ dɨ ɐ.vɨ.ˈɫɐ̃/	/ ˈɔʎus ˈkɔʁ dʒi aveˈlɐ̃ /			hazel eyes	/ˈheɪzəl ˈaɪz/	/ˈheɪzᵊl ˈaɪz/				ojos color avellana							yeux noisette					haselnussbraune Augen					ulls color avellana					occhi nocciola										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos pretos	olhos pretos	os olhos pretos		/uz ˈo.ʎuʃ ˈpɾe.tuʃ/	/ ˈɔʎus ˈpɾɛtus /			black eyes	/ˈblæk ˈaɪz/	/ˈblæk ˈaɪz/				ojos negros							yeux noirs					schwarze Augen					ulls negres					occhi neri										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
olhos verdes	olhos verdes	os olhos verdes	"<img src=""Olhos_Verdes.jpg"">"	/uz ˈo.ʎuʒ ˈveɾ.dɨʃ/	/ ˈɔʎus ˈvɛʁdes /			green eyes	/ˈɡɹin ˈaɪz/	/ˈɡriːn ˈaɪz/				ojos verdes							yeux verts					grüne Augen					ulls verds					occhi verdi										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Olhos
orgulhoso, orgulhosa	orgulhoso, orgulhosa	orgulhoso, orgulhosa		/oɾ.gu.ˈʎo.zu/ ,  /oɾ.gu.ˈʎo.zɐ/	/ oʁɡuˈʎɔzu | oʁɡuˈʎɔzɐ /			proud	/ˈpɹaʊd/	/ˈpraʊd/				orgulloso							fier					stolz					orgullós					orgoglioso										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
paciente	paciente	paciente		/pɐ.si.ˈẽ.tɨ/	/ pasiˈẽtʃi /			patient	/ˈpeɪʃənt/	/ˈpeɪʃᵊnt/				paciente							patient					geduldig					pacient					paziente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
pacífico, pacífica	pacífico, pacífica	pacífico, pacífica		/pɐ.ˈsi.fɨ.ku/ ,  /pɐ.ˈsi.fɨ.kɐ/	/ paˈsifiku | paˈsifikɐ /			peaceful	/ˈpisfəl/	/ˈpiːsfᵊl/				pacífico							pacifique					friedlich					pacífic					pacifico										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
parvo, parva	parvo, parva	parvo, parva	"<img src=""No_Ragrets.jpg"">"	/ˈpaɾ.vu/ ,  /ˈpaɾ.vɐ/	/ ˈpaʁvu | ˈpaʁvɐ /			dumb	/ˈdəm/	/ˈdʌm/				tonto							idiot					dumm					babau					idiota										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
pateta	pateta	pateta		/pɐ.ˈte.tɐ/	/ paˈtɛtɐ /			silly	/ˈsɪli/	/ˈsɪli/				imbécil							bébé					blöd					dotzo					sciocco										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
patife	patife	patife		/pɐ.ˈti.fɨ/	/ paˈtʃifi /			rascal	/ˈɹæskəl/	/ˈrɑːskᵊl/				granuja							canaille					schurke					golfero					mascalzone										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
piroso, pirosa	piroso, pirosa	piroso, pirosa		/pi.ˈɾo.zu/ ,  /pi.ˈɾo.zɐ/	/ piˈɾɔzu | piˈɾɔzɐ /			tacky	/ˈtæki/	/ˈtæki/				hortera							terne					billig					tacky					squallido										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
precavido, precavida	precavido, precavida	precavido, precavida	"<img src=""Moblit Saving Hange.jpeg"">"	/pɾɨ.kɐ.ˈvi.du/ ,  /pɾɨ.kɐ.ˈvi.dɐ/	/ pɾekaˈvidu | pɾekaˈvidɐ /			cautious	/ˈkɔʃəs/	/ˈkɔːʃəs/				precavido							prudent					vorsichtig					precavit					prudente										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
presunçoso, presunçosa	presunçoso, presunçosa	presunçoso, presunçosa	"<img src=""Jean_Engreido.gif"">"	/pɾɨ.zũ.ˈso.zu/ ,  /pɾɨ.zũ.ˈso.zɐ/	/ pɾezũˈsɔzu | pɾezũˈsɔzɐ /			presumptuous	/pɹɪˈzəmpʃəwəs/	/prɪˈzʌmptʃəs/				presuntuoso							prétentieux					anmaßend					presumptuós					presuntuoso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
pródigo, pródiga	pródigo, pródiga	pródigo, pródiga	"<img src=""Mikasa Chibi.JPG"">"	/ˈpɾɔ.di.gu/ ,  /ˈpɾɔ.di.gɐ/	/ ˈpɾɔdʒiɡu | ˈpɾɔdʒiɡɐ /			prodigal	/ˈpɹɑdɪɡəl/	/ˈprɒdɪɡᵊl/				pródigo							prodigal					verschwenderisch					pròdig					prodigale										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
progressista	progressista	progressista		/pɾu.gɾɨ.ˈsiʃ.tɐ/	/ pɾoɡɾeˈsistɐ /			progressive	/pɹəˈɡɹɛsɪv/	/prəˈɡresɪv/				progresista							progressiste					progressiv					progressista					progressista										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
prudente	prudente	prudente	"<img src=""Moblit_Hange.JPG"">"	/pɾu.ˈdẽ.tɨ/	/ pɾuˈdẽtʃi /			prudent	/ˈpɹudn̩t/	/ˈpruːdᵊnt/				prudente							prudent					umsichtig					prudent					prudente										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
reacionário, reacionária	reacionário, reacionária	reacionário, reacionária	"<img src=""Kitz_Woemann.JPG"">"	/ʁi.ɐ.si.u.ˈna.ɾi.u/ ,  /ʁi.ɐ.si.u.ˈna.ɾi.ɐ/	/ ʁiasioˈnaɾiu | ʁiasioˈnaɾiɐ /			reactionary	/ɹiˈækʃəˌnɛri/	/riˈækʃᵊnᵊri/				reaccionario							réactionnaire					reaktionär					reaccionari					reazionario										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
resoluto, resoluta	resoluto, resoluta	resoluto, resoluta	"<img src=""SNK Survey Corps_SM.JPG"">"	/ʁɨ.zu.ˈɫu.tu/ ,  /ʁɨ.zu.ˈɫu.tɐ/	/ ʁezoˈlutu | ʁezoˈlutɐ /			resolute	/ˈɹɛzəˌlut/	/ˈrezəluːt/				resuelto							résolu					entschlossen					resolt risoluto															Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
retraído, retraída	retraído, retraída	retraído, retraída	"<img src=""Mikasa_Clothing.JPG"">"	/ʁɨ.tɾɐ.ˈi.du/ ,  /ʁɨ.tɾɐ.ˈi.dɐ/	/ ʁetɾaˈidu | ʁetɾaˈidɐ /			withdrawn	/wɪðˈdɹɔn/	/wɪðˈdrɔːn/				retraído							renfermé					zurückgezogen					retraído					riservato										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
revolucionário, revolucionária	revolucionário, revolucionária	revolucionário, revolucionária	"<img src=""Restaurationist_Grisha.JPG"">"	/ʁɨ.vu.ɫu.si.u.ˈna.ɾi.u/ ,  /ʁɨ.vu.ɫu.si.u.ˈna.ɾi.ɐ/	/ ʁevolusioˈnaɾiu | ʁevolusioˈnaɾiɐ /			revolutionary	/ˌɹɛvəˈluʃəˌnɛri/	/ˌrevəˈluːʃᵊnᵊri/				revolucionario							révolutionnaire					revolutionär					revolucionari					rivoluzionario										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
ríspido, ríspida	ríspido, ríspida	ríspido, ríspida	"<img src=""Levi_NO.JPG"">"	/ˈʁiʃ.pɨ.du/ ,  /ˈʁiʃ.pɨ.dɐ/	/ ˈʁispidu | ˈʁispidɐ /			gruff	/ˈɡɹəf/	/ˈɡrʌf/				áspero							grégaire					rau					ríspid					ruvido										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
rudo, ruda	rudo, ruda	rudo, ruda	"<img src=""Levi_Court.gif"">"	/ˈʁu.du/ ,  /ˈʁu.dɐ/	/ ˈʁudu | ˈʁudɐ /			rough	/ˈɹəf/	/ˈrʌf/				rudo							rude					rauh					rude					rozzo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
seguro, segura	seguro, segura	seguro, segura		/sɨ.ˈgu.ɾu/ ,  /sɨ.ˈgu.ɾɐ/	/ seˈɡuɾu | seˈɡuɾɐ /			confident	/ˈkɑnfədənt/	/ˈkɒnfɪdᵊnt/				seguro							sûr					sicher					segur					sicuro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sensível	sensível	sensível		/sẽ.ˈsi.vɛɫ/	/ sẽˈsivɛw /			sensitive	/ˈsɛnsətɪv/	/ˈsensɪtɪv/				sensible							sensible					sensibel					sensible					sensibile										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sereno, serena	sereno, serena	sereno, serena		/sɨ.ˈɾe.nu/ ,  /sɨ.ˈɾe.nɐ/	/ seˈɾɛnu | seˈɾɛnɐ /			serene	/sə˞ˈɹin/	/səˈriːn/				sereno							serein					gelassen					seré					sereno										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sincero, sincera	sincero, sincera	sincero, sincera		/sĩ.ˈse.ɾu/ ,  /sĩ.ˈse.ɾɐ/	/ sĩˈsɛɾu | sĩˈsɛɾɐ /			sincere	/sɪnˈsɪr/	/sɪnˈsɪə/				sincero							sincère					aufrichtig					sincer					sincero										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
somítico, somítica	somítico, somítica	somítico, somítica		/su.ˈmi.tɨ.ku/ ,  /su.ˈmi.tɨ.kɐ/	/ soˈmitʃiku | soˈmitʃikɐ /			greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaricioso							avare					geizig					avar					avaro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sossegado, sossegada	sossegado, sossegada	sossegado, sossegada	"<img src=""JeanMarco.jpg"">"	/su.sɨ.ˈga.du/ ,  /su.sɨ.ˈga.dɐ/	/ soseˈɡadu | soseˈɡadɐ /			calm	/ˈkɑm/	/ˈkɑːm/				tranquilo							calme					ruhig					calma					calmo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
sovina	sovina	sovina		/su.ˈvi.nɐ/	/ soˈvinɐ /			stingy	/ˈstɪndʒi/	/ˈstɪndʒi/				tacaño							avare					geizig					tacany					avaro										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tem franja	tem franja	tem franja	"<img src=""Hitch.JPG"">"	/tɐ̃j ˈfɾɐ̃.ʒɐ/	/ ˈtẽj̃ ˈfɾɐ̃ʒɐ /			has bangs	/həz ˈbæŋz/	/həz ˈbæŋz/				tiene flequillo							a une frange					hat Pony					té serrell					ha la frangia										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
tem madeixas	tem madeixas	tem madeixas		/tɐ̃j mɐ.ˈdɐj.ʃɐʃ/	/ ˈtẽj̃ maˈdejʃas /			has highlights	/həs ˈhaɪˌlaɪts/	/həs ˈhaɪlaɪts/				tiene mechas							a des mèches					hat Strähnchen					té metxes					ha i colpi di sole										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao::Cabelo
temeroso, temerosa	temeroso, temerosa	temeroso, temerosa	"<img src=""Mike_Afraid.JPG"">"	/tɨ.mɨ.ˈɾo.zu/ ,  /tɨ.mɨ.ˈɾo.zɐ/	/ temeˈɾɔzu | temeˈɾɔzɐ /			fearful	/ˈfɪrfəl/	/ˈfɪəfᵊl/				temeroso							peureux					ängstlich					temerós					temeroso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tolerante	tolerante	tolerante	"<img src=""creeping Levi.gif"">"	/tu.ɫɨ.ˈɾɐ̃.tɨ/	/ toleˈɾɐ̃tʃi /			tolerant	/ˈtɑlə˞ɹənt/	/ˈtɒlᵊrᵊnt/				tolerante							tolérant					tolerant					tolerant					tollerante										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tolo, tola	tolo, tola	tolo, tola	"<img src=""Connie_01.png"">"	/ˈto.ɫu/ ,  /ˈto.ɫɐ/	/ ˈtɔlu | ˈtɔlɐ /			fool	/ˈful/	/ˈfuːl/				tonto							imbécile					Dummkopf					babau					scemo										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tranquilo, tranquila	tranquilo, tranquila	tranquilo, tranquila		/tɾɐ̃.ˈki.ɫu/ ,  /tɾɐ̃.ˈki.ɫɐ/	/ tɾɐ̃ˈkilu | tɾɐ̃ˈkilɐ /			tranquil	/ˈtɹæŋkwəl/	/ˈtræŋkwɪl/				tranquilo							tranquille					ruhig					tranquil					tranquillo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
transigente	transigente	transigente		/tɾɐ̃.zɨ.ˈʒẽ.tɨ/	/ tɾɐ̃siˈʒẽtʃi /			accommodating	/əˈkɑməˌdeɪtɪŋ/	/əˈkɒmədeɪtɪŋ/				transigente							accommodant					entgegenkommend					transigent					transigente										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
trapalhão, trapalhona	trapalhão, trapalhona	trapalhão, trapalhona		/tɾɐ.pɐ.ˈʎɐ̃w/ ,  /tɾɐ.pɐ.ˈʎo.nɐ/	/ tɾapaˈʎɐ̃w̃ | tɾapaˈʎonɐ /			clumsy	/ˈkləmzi/	/ˈklʌmzi/				torpe							empoté					ungeschickt					patós					goffo										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
valente	valente	valente	"<img src=""Mikasa freeing Eren.gif"">"	/vɐ.ˈɫẽ.tɨ/	/ vaˈlẽtʃi /			brave	/ˈbɹeɪv/	/ˈbreɪv/				valiente							courageux					tapfer					valent					coraggioso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
vergonhoso, vergonhosa		vergonhoso, vergonhosa	"<img src=""Probaremos Con Armin.JPG"">"	/vɨɾ.gu.ˈɲo.zu/ ,  /vɨɾ.gu.ˈɲo.zɐ/	 			ashamed	/əˈʃeɪmd/	/əˈʃeɪmd/				avergonzado							honteux					beschämt					avergonyit					vergognoso										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
violento, violenta	violento, violenta	violento, violenta	"<img src=""Levi_Kicking.JPG"">"	/vi.u.ˈɫẽ.tu/ ,  /vi.u.ˈɫẽ.tɐ/	/ vioˈlẽtu | vioˈlẽtɐ /			violent	/ˈvaɪələnt/	/ˈvaɪəlᵊnt/				violento							violent					gewalttätig					violent					violento										Português::Curso::A1 Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
tem carapinha	tem carapinha	tem carapinha	"<img src=""_carapinha.jpeg"">"	/tɐ̃j kɐ.ɾɐ.ˈpi.ɲɐ/	/ ˈtẽj̃ kaɾaˈpiɲɐ /			has frizzy hair	/həs ˈfɹɪzi ˈhɛr/	/həs ˈfrɪzi ˈheə/				pelo afro							a des cheveux crépus					hast krauses Haar					té cabells arrissats					ha i capelli crespi										Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
alemão, alemã	alemão, alemã	/ ɐ.ɫɨ.ˈmɐ̃w   |    ɐ.ɫɨ.ˈmɐ̃ /	/ aleˈmɐ̃w̃ | aleˈmɐ̃ /	adjm , adjf			German	/ ˈdʒɜ˞mən /	/ ˈdʒɜːmən /	adj, proper noun	*		alemán, alemana	/ale'man/, /ale'mana/		adjm, adjf	*			allemand, allemande		/ almɑ̃ /, / almɑd /																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
angolano, angolana	angolano, angolana	/ ɐ̃.gu.ˈɫɐ.nu   |    ɐ̃.gu.ˈɫɐ.nɐ /	/ ɐ̃ɡoˈlɐnu | ɐ̃ɡoˈlɐnɐ /	adjm, adjf			Angolan	/ æŋˈɡoʊlən /	/ æŋˈɡəʊlən /	adj, proper noun	*		angoleño, angoleña	"/aŋɡo&#x27;leɲo/, /aŋɡo&#x27;leɲa/"		adjm, adjf	*			angolais, angolaise		/ɑ̃gɔlɛ/, /ɑ̃gɔlɛz/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
belga	belga	/ ˈbɛɫ.gɐ /	/ ˈbɛwɡɐ /	adjf			Belgian	/ ˈbɛldʒən /	/ ˈbeldʒən /	adj, proper noun	*		belga	"/&#x27;bel.ɣa/"		adj m/f	*			belge		/bɛlʒ/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
brasileiro, brasileira	brasileiro, brasileira	/ bɾɐ.zi.ˈɫɐj.ɾu   |    bɾɐ.zi.ˈɫɐj.ɾɐ /	/ bɾaziˈlejɾu | bɾaziˈlejɾɐ /	adjm, adjf			Brazilian	/ bɹəˈzɪljən /	/ brəˈzɪljən /	adj, proper noun	*		brasileño, brasileña	"/bɾazi&#x27;leɲo/, /bɾazi&#x27;leɲa/"		adjm, adjf	*			brésilien, brésilienne		/bʀeziljɛ̃/, /bʀeziljɛn/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
cabo-verdiano, cabo-verdiana	cabo-verdiano, cabo-verdiana	/ ˈka.bu-vɨɾ.di.ˈɐ.nu   |    ˈka.bu-vɨɾ.di.ˈɐ.nɐ /	/ kaboveʁdʒiˈɐnu | kaboveʁdʒiˈɐnɐ /	adjm, adjf			Cape Verdean	/ˌkeɪp vɜrˈdiːən/, /-dən/		adj, proper noun	*		caboverdiano, caboverdiana	/kaboβeɾˈðjano/, /kaboβeɾˈðjana/		adjm, adjf	*			capverdien, capverdienne		/kapvɛʀdjɛ̃/, / kapvɛʀdjɛn/		ou cap-verdien, ienne																						Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
canadense, canadense	canadense, canadense	/ kɐ.nɐ.ˈdẽ.sɨ   |    kɐ.nɐ.ˈdẽ.sɨ /	/ kɐnaˈdẽsi | kɐnaˈdẽsi /	adjm , adjf			Canadian	/ kəˈneɪdiən /	/ kəˈneɪdɪən /	adj, proper noun	*		canadiense, canadiense	/kanaˈðjense/, /kanaˈðjense/		adj m/f	*			canadien, canadienne		/kanadjɛ̃/,/kanadjɛn/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
chinês, chinesa	chinês, chinesa	/ ʃi.ˈneʃ   |    ʃi.ˈne.zɐ /	/ ʃiˈnes | ʃiˈnezɐ /	adjm , adjf			Chinese	/ tʃaɪˈniz /	/ tʃaɪˈniːz /	adj, proper noun	*		chino, china	/ˈtʃino/, /ˈtʃina/		adjm, adjf	*			chinois, chinoise		/ʃinwa/, /ʃinwaz/	nadj(pl)	la main-d’œuvre chinoise a contribué de façon importante au développement économique Chinese manpower contributed greatly to economic development																						Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
egípcio, egípcia	egípcio, egípcia	/ i.ˈgip.sɨ.u   |    i.ˈgip.sɨ.ɐ /	/ iˈʒipsiu | iˈʒipsiɐ /	adjm , adjf			Egyptian	/ ɪˈdʒɪpʃən /	/ ɪˈdʒɪpʃᵊn /	adj, proper noun	*		egipcio, egipcia	/eˈxiθjo/, /eˈxiθθa/		adjm, adjf	*			égyptien, égyptienne		/eʒipsjɛ̃/, /eʒipsjɛn/	nadj	nous avons mangé de la cuisine égyptienne																						Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
espanhol, espanhola	espanhol, espanhola	/ ʃ.pɐ.ˈɲɔɫ   |    ʃ.pɐ.ˈɲo.ɫɐ /	/ ispɐˈɲɔw | ispɐˈɲɔlɐ /	adjm , adjf			Spanish	/ ˈspænɪʃ /	/ ˈspænɪʃ /	adj, proper noun	*		español, española	/espaˈɲol/, /espaˈɲola/		adjm, adjf	*			espagnol, espagnole		/ɛspaɲɔl/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
francês, francesa	francês, francesa	/ fɾɐ̃.ˈseʃ   |    fɾɐ̃.ˈse.zɐ /	/ fɾɐ̃ˈses | fɾɐ̃ˈsezɐ /	adjm , adjf			French	/ ˈfɹɛntʃ /	/ ˈfrentʃ /	adj, proper noun	*		francés, francesa	/fɾanˈθes/, /fɾanˈθesa/		adjm, adjf	*			français, française		/fʀɑ̃sɛ/, /fʀɑ̃sɛz/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
guineense	guineense	/ gi.nɨ.ˈẽ.sɨ /	/ ɡjneˈẽsi /	adj			Guinean	/ ˈɡɪniən /	/ ˈɡɪnɪən /	adj, proper noun	*		guineano, guineana	"/ɡi&#x27;neano/"		adjm, adjf	*			bissau-guinéen, bissau-guinéenne		/bisoɡineɛ̃/,  /bisoɡineɛn/		ou bissao-guinéen  /bisaɔɡineɛ̃/, bissao-guinéenne  /bisaɔɡineɛn/																						Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
inglês, inglesa	inglês, inglesa	/ ĩ.ˈgɫeʃ   |    ĩ.ˈgɫe.zɐ /	/ ĩˈɡles | ĩˈɡlɛzɐ /	adjm , adjf			English	/ ˈɪŋɡlɪʃ /	/ ˈɪŋɡlɪʃ /	adj, proper noun	*		inglés, inglesa	/iŋˈɡles/, /iŋˈɡlesa/		adjm, adjf	*			anglais, anglaise		/ɑ̃glɛ/, /ɑ̃glɛz/																								Português::Curso::A1 Português::Vocabulario::Pessoas::Nacionalidade
